veri_seti,model,senaryo,fold,seed,accuracy,precision,recall,f1,n,pozitif,roc_auc,pr_auc
SKAB,lstm,gurultu,0,123,0.8820722563053851,0.7719298245614035,0.9416342412451362,0.8483786152497809,1467,514,0.9559633514480179,0.9571237508494058
SKAB,lstm,unseen,0,123,0.9113837764144512,0.8356643356643356,0.9299610894941635,0.8802946593001841,1467,514,0.9549181164538768,0.9589479196771575
SKAB,gru,orijinal,0,123,0.918200408997955,0.8456140350877193,0.9377431906614786,0.8892988929889298,1467,514,0.9580385103768153,0.9590328336884237
SKAB,gru,gurultu,0,123,0.89093387866394,0.7892156862745098,0.9396887159533074,0.8579040852575488,1467,514,0.9568616002711078,0.9566957080442374
SKAB,gru,unseen,0,123,0.934560327198364,0.8856088560885609,0.933852140077821,0.9090909090909091,1467,514,0.9574372961077247,0.9612355578116896
SKAB,cnn1d,orijinal,0,123,0.923653715064758,0.8602150537634409,0.933852140077821,0.8955223880597015,1467,514,0.9597349757676964,0.9501185616342647
SKAB,cnn1d,gurultu,0,123,0.8916155419222904,0.7924217462932455,0.9357976653696498,0.8581623550401427,1467,514,0.952948093466873,0.945684899763835
SKAB,cnn1d,unseen,0,123,0.9243353783231084,0.8617594254937163,0.933852140077821,0.896358543417367,1467,514,0.9584733444661747,0.9459910248918925
SKAB,lstm,orijinal,0,2026,0.9038854805725971,0.8134453781512605,0.9416342412451362,0.872858431018936,1467,514,0.9559837661939973,0.9572886870417269
SKAB,lstm,gurultu,0,2026,0.8725289706884799,0.7542768273716952,0.943579766536965,0.8383751080380294,1467,514,0.956228743145749,0.9562374297111392
SKAB,lstm,unseen,0,2026,0.9113837764144512,0.8321799307958477,0.9357976653696498,0.8809523809523809,1467,514,0.954556775450043,0.9584256679050905
SKAB,gru,orijinal,0,2026,0.9263803680981595,0.8704379562043796,0.9280155642023347,0.8983050847457628,1467,514,0.9636229641394571,0.9641761995483372
SKAB,gru,gurultu,0,2026,0.8984321745057942,0.8087986463620981,0.9299610894941635,0.865158371040724,1467,514,0.9591868398381519,0.9595560962866327
SKAB,gru,unseen,0,2026,0.9570552147239264,0.9465346534653465,0.9299610894941635,0.9381746810598626,1467,514,0.9640088028384662,0.9657401620355293
SKAB,cnn1d,orijinal,0,2026,0.8773006134969326,0.7625786163522013,0.943579766536965,0.8434782608695652,1467,514,0.9597094573352223,0.9509337670110558
SKAB,cnn1d,gurultu,0,2026,0.8343558282208589,0.6932952924393724,0.9455252918287937,0.8,1467,514,0.9527153653627088,0.9425471576101501
SKAB,cnn1d,unseen,0,2026,0.9059304703476483,0.821917808219178,0.933852140077821,0.8743169398907104,1467,514,0.9591133467526265,0.9483077821539488
SKAB,lstm,orijinal,0,7,0.9093387866394002,0.8267581475128645,0.9377431906614786,0.8787602552415679,1467,514,0.9547741924947228,0.9553449222116137
SKAB,lstm,gurultu,0,7,0.8888888888888888,0.7853658536585366,0.9396887159533074,0.8556244464127547,1467,514,0.9541076510384982,0.954215696578584
SKAB,lstm,unseen,0,7,0.9032038173142468,0.8141891891891891,0.9377431906614786,0.8716094032549728,1467,514,0.9548384989445575,0.9571436328427297
